cognom;freq1;freq2;fre1i2
BELTRAN;30396;30044;365
ESTEVEZ;30231;30091;499
SALAS;30198;29797;190
GALVEZ;30192;30025;394
BERMUDEZ;30008;30380;679
MENENDEZ;29732;30005;1134
RICO;29727;30021;419
JURADO;29575;29093;287
CONDE;29456;28654;375
QUINTANA;29411;29766;390
ARANDA;29155;28871;365
PLAZA;28961;28847;404
ABAD;28956;29032;290
GRACIA;28849;29293;374
AVILA;28742;28311;281
HURTADO;28480;28535;327
TRUJILLO;28299;28759;458
BLAZQUEZ;28210;28753;416
ESCOBAR;28145;28117;234
PACHECO;27930;28535;346
MANZANO;27926;27782;355
SANTAMARIA;27920;27700;266
VILLANUEVA;27882;28200;313
COSTA;27863;26918;315
ROCA;27797;27245;223
RUEDA;27503;27366;376
SERRA;27153;26125;375
CUESTA;27090;26697;405
MIGUEL;27069;28821;312
MESA;26886;27152;356
TOMAS;26747;26979;297
LUNA;26389;26284;196
DE LA FUENTE;26268;25451;316
SIMON;26159;25255;290
CASTAÑO;26043;25882;447
ALARCON;26004;26493;405
DEL RIO;25989;25906;253
ZAMORA;25954;25090;272
MALDONADO;25932;25883;415
MILLAN;25809;25809;231
LAZARO;25715;25645;376
PONS;25696;25250;957
CHEN;25655;2123;258
PAREDES;25580;25864;261
SANCHO;25566;25166;260
MONTOYA;25219;25581;1248
BAUTISTA;24834;25481;271
BLASCO;24826;24793;368
SALVADOR;24651;23928;290
PONCE;24494;24717;262
BERMEJO;24440;24330;318
BALLESTEROS;24407;24099;212
DE LA CRUZ;24391;24127;220
VALVERDE;24360;24177;241
OLIVA;23936;23628;178
VALLE;23935;24004;215
MURILLO;23847;24325;387
CORDERO;23824;24116;213
ANTON;23782;23279;365
CUEVAS;23212;23157;349
LORENTE;23109;22750;240
AMADOR;23056;21903;1609
ORDOÑEZ;22975;23156;260
VALENCIA;22953;23390;397
POZO;22790;22806;283
RODRIGO;22787;22728;326
BARRERA;22723;23287;265
COLLADO;22667;22802;237
CUENCA;22586;22609;284
MARTOS;22548;22624;243
MAS;22414;21924;397
JUAN;22349;23035;334
BARROSO;22168;22531;219
QUESADA;22153;22587;253
DE LA TORRE;21981;21462;143
PULIDO;21736;22171;268
NAVAS;21610;21894;139
ROS;21588;20572;172
ARENAS;21531;21547;247
MARCO;21505;20702;246
ALBA;21443;20833;179
CABELLO;21354;21428;226
SINGH;21228;712;117
MENA;21156;21141;196
GALINDO;21089;21251;169
CORRAL;20959;20898;235
SORIA;20947;20999;207
VALLEJO;20947;20953;182
ROJO;20919;21086;295
AGUIRRE;20852;20456;179
CARO;20781;20688;255
GIMENO;20780;20634;225
AGUADO;20711;20430;245
PAZ;20629;20894;364
ESCRIBANO;20613;20568;211
PUIG;20552;19620;222
NARANJO;20551;20114;238
SAIZ;20502;20249;447
LUCAS;20478;20527;230
VILLALBA;20448;20165;188
LINARES;20405;20062;154
DOMINGO;20399;19932;294
MATA;20305;19946;153
ASENSIO;20295;20443;222
REINA;20241;20358;185
POLO;20219;20673;220
OJEDA;20037;19417;301
RAMON;20019;20366;291
MORAN;19967;19638;337
LEAL;19889;20010;166
BONILLA;19884;19705;219
SOSA;19860;19213;276
BURGOS;19432;19885;127
MOHAMED;19363;18195;3112
CARDENAS;19184;18988;227
CACERES;19120;19213;182
CARRETERO;18941;18647;215
CORREA;18700;18453;235
ZAPATA;18606;18354;215
CHACON;18512;18484;208
ARAGON;18451;18726;228
OLIVER;18409;17543;149
CORDOBA;18339;18406;201
CARRION;18115;17758;184
CASTELLANO;18112;17704;294
QUINTERO;18095;18744;276
PINEDA;18090;17366;240
VILLA;18078;17726;116
ROSA;17981;18195;143
SAAVEDRA;17928;17425;314
CALERO;17781;18086;192
CLEMENTE;17759;18340;142
VELAZQUEZ;17650;17330;167
JUAREZ;17622;17520;159
ROIG;17600;17330;248
CARRERA;17415;18121;225
TOLEDO;17410;17633;146
AYALA;17368;16892;164
ALCARAZ;17251;17202;173
HERNANDO;17197;17030;279
ANDREU;17184;17117;117
BARRIOS;17183;16964;124
VILLEGAS;17131;16963;200
COBO;17129;17237;306
SALGADO;17076;17095;270
FERREIRA;16899;15068;157
CAMARA;16822;12868;539
VELA;16793;16925;167
RIERA;16746;16271;268
SOLA;16740;16446;121
MORAL;16577;16274;413
DOMENECH;16558;16221;123
SEVILLA;16501;16482;144
LLORENTE;16477;16327;312
ALFONSO;16427;16446;158
CARBONELL;16412;16004;328
REQUENA;16336;15818;114
PRADO;16320;16318;183
SOLIS;16275;16034;192
SALINAS;16213;15856;117
PELAEZ;16180;16329;202
OLIVARES;16162;16149;173
LUIS;16062;17227;512
PINTO;16034;16222;141
CARDONA;16029;15721;272
CARBALLO;15982;15907;210
ARRIBAS;15980;15822;195
DE LA ROSA;15777;15443;268
PIÑEIRO;15728;15692;316
RINCON;15607;15585;200
FONT;15580;14760;100
PEREA;15560;15821;137
MARRERO;15416;15119;346
ESTEVE;15397;14830;144
PALMA;15371;14981;202
DA SILVA;15323;17512;241
AREVALO;15314;15345;146
CASTILLA;15255;15036;131
GRAU;15215;14217;194
CANTERO;15207;15097;94
MARQUES;15146;14243;177
BOSCH;15044;14094;157
PORRAS;14998;14704;121
CID;14912;14729;356
BALLESTER;14881;14580;130
BAENA;14838;14452;106
PINO;14828;14988;81
PALOMO;14790;15077;143
CASANOVA;14766;14086;148
SANCHIS;14764;14297;196
BELMONTE;14581;14967;146
VENTURA;14571;14202;105
WANG;14532;1162;64
ANGULO;14522;14478;140
NICOLAS;14520;14642;182
VELEZ;14517;14593;172
BARBA;14454;14116;95
RECIO;14437;14248;138
LAGO;14427;14114;360
MIRALLES;14409;14401;112
OCHOA;14397;14508;134
MADRID;14308;13908;160
COBOS;14239;13740;84
PERALTA;14184;13927;150
SALA;14152;13529;121
CABEZAS;14089;13980;148
MUÑIZ;14085;13908;146
HERRANZ;14077;13475;329
BECERRA;14025;14096;161
ARRANZ;14024;14145;254
CASTELLANOS;13965;13786;155
LIN;13934;1030;88
DUARTE;13916;13551;126
ESTRADA;13888;13922;100
BARREIRO;13877;13773;203
CUADRADO;13865;13841;99
ALFARO;13856;13769;141
NAVARRETE;13807;13783;145
BELLO;13769;13891;165
GRANADOS;13760;13586;112
COLL;13752;13612;166
VAQUERO;13745;13321;112
VERGARA;13734;13683;104
TAPIA;13701;13360;124
OCAÑA;13694;13612;99
CERVERA;13692;13476;205
ALCANTARA;13663;13918;158
GAMEZ;13527;13914;212
PUENTE;13479;13522;112
GODOY;13461;13265;177
CORRALES;13435;13862;96
FAJARDO;13347;12821;255
MEJIAS;13257;13924;120
CARVAJAL;13172;13020;115
ROSALES;13112;13237;134
TORO;13087;13450;97
FALCON;13087;13059;275
ZAMBRANO;13059;13105;345
LATORRE;13018;12361;94
VASQUEZ;13001;12963;248
LOSADA;12985;12985;153
AHMED;12980;5895;425
FIGUEROA;12965;12971;127
BARRAGAN;12963;13081;141
VALENZUELA;12953;12937;142
CAMPO;12927;12850;178
PUJOL;12913;12734;107
SEGOVIA;12883;12542;125
EGEA;12872;12777;106
VALLS;12861;12170;85
PAVON;12830;13186;147
RUANO;12819;12559;241
AMAYA;12781;12488;839
HUERTAS;12781;12409;103
SASTRE;12691;13000;160
ROVIRA;12675;12270;65
CEREZO;12631;12499;78
CATALAN;12627;12181;149
PORTILLO;12601;12771;129
DAVILA;12586;12480;216
ARIZA;12584;12272;114
CEBRIAN;12571;12513;146
FRAILE;12563;12446;167
BORREGO;12544;13278;78
MORILLO;12537;12418;241
ARJONA;12495;12613;161
DUQUE;12487;12444;223
MORCILLO;12453;12852;124
DEL VALLE;12441;12027;68
BARBERO;12427;12505;188
ALVARADO;12354;12775;139
GUIJARRO;12300;12189;179
VALDES;12259;12215;118
AZNAR;12224;12130;148
ZHANG;12212;807;37
PEINADO;12205;11779;144
MOSQUERA;12203;12105;250
ROMERA;12134;11635;202
CANOVAS;12133;11922;213
FERREIRO;12105;12219;189
OSORIO;12101;12451;130
ALCAIDE;12059;11958;128
GALVAN;12037;11830;133
MELERO;12034;12003;144
GORDILLO;12007;12511;113
JORGE;11966;12171;109
TIRADO;11954;11403;64
LOBATO;11942;11994;102
ESPEJO;11938;12267;91
LLAMAS;11903;11601;81
AGUDO;11901;11753;108
SOLE;11868;11942;136
SOLANO;11813;11735;136
TEJERO;11813;11713;138
REAL;11812;11604;195
MEJIA;11787;12265;241
CHAMORRO;11775;11626;118
SAINZ;11768;11333;230
DORADO;11681;11309;122
DOS SANTOS;11594;12248;392
CRIADO;11571;11786;90
FRIAS;11567;11959;99
GRANDE;11547;10761;123
ANDRADE;11542;10611;146
FREIRE;11524;11322;131
ARAUJO;11507;11354;76
OLMEDO;11503;10921;110
GONZALO;11490;11323;163
ROYO;11479;11463;144
BARRIO;11479;11166;197
ROSADO;11453;11608;86
MOYANO;11447;11709;86
PIZARRO;11446;11550;122
BRITO;11436;11877;203
GARZON;11377;11078;132
DE MIGUEL;11372;8942;69
AVILES;11345;11191;86
PAEZ;11296;10520;107
SALGUERO;11289;11139;453
SALCEDO;11277;11211;105
PANIAGUA;11245;10726;197
ALCALA;11211;11730;85
NOGUERA;11201;11385;88
SERNA;11157;10951;199
CALLEJA;11154;11511;78
ALCAZAR;11138;11570;109
CHAVEZ;11134;11678;126
BORJA;11113;10834;948
SAENZ;11107;10922;214
HUERTA;11099;11701;164
OROZCO;11072;11369;161
TENA;11006;11025;216
PLA;10995;10941;52
DEL POZO;10994;10538;79
FERRERO;10994;10507;243
ALCALDE;10986;10896;88
ARCE;10958;10843;97
CHAVES;10897;10987;133
CASTAÑEDA;10823;10815;91
PIÑERO;10811;10804;105
PAZOS;10778;10758;104
LLORENS;10765;10223;69
REBOLLO;10743;10794;105
POVEDA;10642;10716;113
LAFUENTE;10618;10417;102
HERAS;10610;10537;112
PENA;10597;10697;138
VIVES;10591;10414;80
HERVAS;10523;10427;130
BONET;10503;10342;107
ABELLAN;10502;10441;122
PALOMINO;10498;10690;93
BARRANCO;10498;10667;61
QUIROS;10496;10553;82
VALIENTE;10456;9957;50
LI;10447;791;78
OLMO;10442;11202;105
GARCES;10432;10414;110
HARO;10432;10182;121
BARTOLOME;10419;10424;132
MATEU;10385;10047;97
CABEZA;10366;10919;72
ACEVEDO;10350;10261;116
VALLES;10335;9925;106
CARREÑO;10297;10357;83
LAGUNA;10296;10240;87
CEBALLOS;10264;9650;81
MELLADO;10241;10467;70
AFONSO;10237;10100;189
MIRA;10212;9856;91
BORRAS;10180;9585;85
LEIVA;10175;10216;113
LLOPIS;10157;9900;102
GINER;10153;9717;98
MOLERO;10145;10456;65
BARCELO;10138;9574;154
SOUTO;10122;10531;169
YAÑEZ;10118;10226;109
BUSTAMANTE;10099;10136;325
OSUNA;10096;10135;79
CALLE;10072;10319;219
DEL CASTILLO;10065;9551;46
PALOMARES;10060;10169;122
VILCHEZ;10059;9948;144
BILBAO;9997;10313;223
MAESTRE;9959;10155;155
DEL PINO;9927;9914;78
FUERTES;9917;9744;123
MONTESINOS;9803;9629;46
URBANO;9795;9653;77
SAN JOSE;9757;9505;26
CASTELLO;9749;10059;92
OLMOS;9709;9151;110
ZAFRA;9696;9847;85
RIBAS;9686;9573;350
MURCIA;9686;9201;64
KAUR;9635;3156;19
SANDOVAL;9626;9509;92
BAEZA;9625;9562;75
PAREJA;9617;9914;133
TEJADA;9616;9291;108
BELLIDO;9613;9912;86
FELIPE;9601;10003;147
PUERTAS;9584;9807;86
VIZCAINO;9548;9622;66
DE LEON;9543;9253;187
PRATS;9539;9131;121
JAEN;9521;9434;72
PERALES;9479;9394;66
SARMIENTO;9443;8816;148
ENRIQUEZ;9426;9172;74
MINGUEZ;9420;9411;125
ORELLANA;9404;9416;76
BAEZ;9399;9548;152
ZARAGOZA;9385;9085;70
CARRERAS;9383;9061;97
VALERA;9378;9196;101
ROCHA;9373;9159;88
GASCON;9362;9311;80
YE;9344;692;28
XU;9334;605;30
LEDESMA;9305;9225;90
MONTORO;9278;9706;46
CAMPILLO;9263;8977;85
DE CASTRO;9261;9154;45
LUENGO;9255;9041;52
SEBASTIAN;9253;9251;120
ARCOS;9248;8926;59
ALEGRE;9231;9204;107
BUSTOS;9204;8982;102
GAGO;9200;9152;143
CAÑAS;9192;8816;85
PERIS;9192;8768;84
PATIÑO;9146;8808;105
MONGE;9141;9285;97
LIU;9127;655;28
BAÑOS;9119;9280;91
TELLO;9045;9198;78
JARA;9036;8965;82
MOREIRA;9034;8943;117
CASAL;9032;8748;69
ARTEAGA;9024;8731;113
GIRALDO;9007;8737;159
JARAMILLO;9005;9352;176
FUSTER;8984;8250;112
BATISTA;8964;8760;154
JEREZ;8956;8918;106
ALI;8940;2576;76
SOBRINO;8924;8816;150
MONTIEL;8905;8789;99
VILAR;8897;8285;87
CAZORLA;8895;9173;108
ARMAS;8887;9007;158
NADAL;8885;8548;65
SALMERON;8880;9012;103
MAYA;8854;8780;353
SANJUAN;8829;8614;85
TEJEDOR;8815;8690;125
MACHADO;8804;8634;140
SEOANE;8791;8278;102
ZABALA;8788;8972;69
LOBO;8767;8753;58
PERDOMO;8734;9008;214
BEJARANO;8731;8556;62
CONESA;8726;8485;91
PADRON;8717;8993;277
ESPINOZA;8694;8540;157
TAMAYO;8679;8984;85
WU;8659;714;36
PALLARES;8643;8520;88
ALEMAN;8638;8484;174
FERRE;8613;8443;130
BAREA;8600;8830;58
VERDU;8591;8719;126
CANALES;8562;8599;95
BARRERO;8533;8671;103
MORON;8529;8310;58
JORDAN;8528;8280;44
PRADA;8516;8043;149
MARI;8509;8268;573
ALMEIDA;8488;8486;94
MAYOR;8485;8457;107
RIPOLL;8470;8541;80
VEIGA;8465;8021;99
TORTOSA;8458;8383;72
MORO;8437;8394;87
TABOADA;8435;7954;62
PRADOS;8434;8137;70
CLIMENT;8432;8227;138
DIALLO;8430;2219;1058
DEL CAMPO;8429;8309;66
CATALA;8418;8257;112
SAN MARTIN;8408;7974;47
FERRANDO;8406;8096;59
INFANTE;8372;8122;88
AYUSO;8356;8304;77
MANRIQUE;8351;7763;58
PEÑALVER;8348;8273;119
FRAGA;8336;8278;118
ABRIL;8326;7960;123
AMOROS;8281;8086;88
DIEGUEZ;8208;8302;139
BARROS;8205;8235;83
MOTA;8167;8127;75
GALERA;8154;8072;137
ALVES;8145;5763;76
MEDRANO;8099;8102;74
MONTAÑO;8098;8064;180
ALVARO;8092;7871;94
MANSO;8090;8064;55
CIFUENTES;8090;7943;67
LUCENA;8076;7982;64
NOGALES;8073;7833;100
YUSTE;8065;8228;157
CERDA;8062;8019;103
MAROTO;8040;8096;66
PINILLA;8035;7965;64
ALBERT;7973;7411;100
ECHEVERRIA;7962;8429;265
BERENGUER;7938;7679;55
PEDROSA;7936;8259;74
ZHOU;7936;703;48
IBARRA;7889;7597;72
VILLENA;7881;7656;79
ATIENZA;7875;8331;87
BOLAÑOS;7872;7785;95
DUEÑAS;7872;7693;77
MIGUEZ;7864;7809;117
SAMPEDRO;7861;7823;104
VILLAVERDE;7855;7451;63
DEL OLMO;7842;7961;62
RIBERA;7821;7844;53
MANZANARES;7808;7891;46
UBEDA;7785;7689;49
MONTILLA;7784;7852;56
QUEVEDO;7771;7536;58
RAYA;7767;7766;72
TOVAR;7760;7572;85
SEVILLANO;7750;7659;86
DIEGO;7734;8085;102
MERCHAN;7732;7664;106
VIÑAS;7729;7879;51
ALMAGRO;7729;7598;66
MIRO;7728;7314;80
ORTUÑO;7713;7531;60
ESPAÑA;7704;7424;69
NOVOA;7696;7613;120
ECHEVARRIA;7692;8121;187
TERUEL;7687;7834;51
VIVAS;7676;7703;61
TALAVERA;7670;7876;104
RODRIGUES;7654;5326;91
DE LOS SANTOS;7652;7689;117
MELENDEZ;7646;7622;73
DE LAS HERAS;7613;7388;66
FRANCISCO;7612;7668;121
MORILLAS;7601;7378;108
PUERTO;7592;7693;49
LUJAN;7589;7450;115
ROBLEDO;7588;7691;63
INIESTA;7575;7271;64
CHECA;7565;7455;89
ACEDO;7537;7791;164
TRIGO;7510;7427;69
TELLEZ;7509;7660;50
GUEVARA;7506;7290;84
ACUÑA;7488;7046;55
NARVAEZ;7468;7422;101
CAPARROS;7455;7030;91
GRANADO;7454;7636;68
ARES;7432;7401;114
DE DIEGO;7410;6775;73
CORONADO;7398;7523;42
PUERTA;7389;7178;110
MONZON;7377;7106;75
MACIA;7371;7188;81
HERREROS;7368;7703;117
FRANCES;7356;7544;105
SEGARRA;7352;7067;59
BERNABE;7351;7191;51
MATAS;7346;6766;79
VELASQUEZ;7334;7597;99
VALDIVIA;7333;6968;57
ARANA;7311;7062;58
PALACIO;7311;6997;48
HERMIDA;7299;7347;88
BALAGUER;7299;6935;45
ESPADA;7293;7491;41
TORIBIO;7285;7217;81
ZAMORANO;7278;7080;51
MARIÑO;7256;7264;63
PINA;7209;6964;26
BUENDIA;7198;7210;66
TOME;7198;7150;66
PERAL;7185;7294;59
CERVANTES;7166;6936;47
CUBERO;7151;7305;73
MAYO;7137;7196;120
BARBERA;7131;7318;48
ENCINAS;7129;7000;64
SEPULVEDA;7126;6942;69
MOLINERO;7120;6709;68
BERNABEU;7107;6742;86
MELIAN;7083;6952;89
LAMAS;7079;6991;87
PRAT;7077;6773;55
CUELLAR;7062;7266;64
CAÑETE;7050;6781;49
CARRERO;7042;7062;74
HINOJOSA;7028;6997;43
COCA;7017;6910;78
CESPEDES;7016;6870;88
GIRON;6998;7016;83
PEDRAZA;6976;6820;45
TORRE;6972;7197;65
RODENAS;6965;7206;66
FARIÑA;6961;6778;106
PARRILLA;6950;6991;87
CARRO;6947;6993;127
SAURA;6930;6894;71
SANMARTIN;6929;6837;87
BADIA;6917;6769;24
LLORET;6917;6231;147
PEIRO;6904;6672;102
COSTAS;6901;6939;183
UREÑA;6895;6555;82
MARISCAL;6891;6952;43
CENTENO;6883;7133;63
MARTORELL;6865;6945;131
MAYORAL;6855;6762;52
ZURITA;6828;6608;25
PIQUERAS;6815;6889;52
BOIX;6797;6711;41
ANDUJAR;6774;7036;43
QUILES;6773;6603;41
CAMPS;6768;6661;40
PARADA;6748;7031;44
ARELLANO;6732;6605;69
GAMERO;6704;6557;69
REVUELTA;6691;6293;45
BENAVIDES;6690;6613;62
FIDALGO;6659;6608;154
CAÑADAS;6636;6664;71
QUIROGA;6632;6235;64
FLOREZ;6621;7065;86
MIR;6601;6327;40
PERERA;6591;6340;71
FONSECA;6570;6469;30
VIERA;6567;6905;66
GABARRI;6563;6235;1106
PLANAS;6560;6243;47
PICAZO;6557;6838;146
MERA;6556;6104;46
GOÑI;6553;6618;77
LEMA;6545;6648;245
SALES;6545;6502;91
RIQUELME;6503;6331;149
ROMO;6485;6638;39
PICO;6472;6673;87
GUISADO;6466;7105;40
MONTENEGRO;6466;6336;53
AMOR;6459;6159;73
VILCHES;6452;6350;34
VEGAS;6451;6361;98
GORDO;6448;6897;73
AMORES;6440;6219;54
ALAMO;6434;6286;75
TORREGROSA;6432;6203;29
RIAL;6424;6564;88
FRUTOS;6419;6622;58
ZHU;6407;505;21
NIEVES;6388;6028;43
PALAU;6388;5929;48
ANTUNEZ;6387;6364;52
SOLANA;6380;6443;46
MESTRE;6372;6176;55
LORA;6372;6080;40
SEGUI;6371;5770;88
CARRASCOSA;6363;6575;46
LABRADOR;6343;6507;57
SABATER;6339;6075;48
ADAN;6330;6308;85
CALATAYUD;6321;6291;50
BOTELLA;6320;6224;60
CODINA;6317;6114;42
DE DIOS;6317;6100;127
QUERO;6317;6067;57
HOYOS;6304;6257;98
MATOS;6298;6454;155
PALAZON;6277;6171;196
JAIME;6274;6212;52
ARNAU;6271;6317;58
NEVADO;6259;6174;67
ABREU;6252;6201;86
NOVO;6252;5933;60
HERMOSO;6248;6140;49
PIÑA;6247;6107;43
NDIAYE;6244;1295;233
PAREJO;6238;6170;37
TOLEDANO;6224;6143;60
NEIRA;6223;5900;39
CHICO;6216;5962;60
CANTOS;6197;5987;34
OLIVEIRA;6189;5604;27
HERRAIZ;6182;6246;205
ZHENG;6179;403;20
REVILLA;6177;6177;111
ANTOLIN;6141;6526;48
FUENTE;6125;6548;107
SILVESTRE;6122;5974;34
RIBES;6115;5934;94
JIMENO;6110;6026;36
POSTIGO;6107;5708;86
DEL MORAL;6104;6194;23
PELLICER;6096;6224;26
BELDA;6094;5933;66
VICO;6081;5930;102
CAAMAÑO;6075;6076;143
RAMIRO;6069;5938;56
DIOP;6067;1159;254
GUIRADO;6065;6107;44
QUIÑONES;6064;6250;76
VERDUGO;6061;6501;53
CARRANZA;6058;5836;63
MEGIAS;6052;5744;91
TORRALBA;6035;5881;48
VACA;6025;6776;97
CORDON;6020;6109;59
MANSILLA;6015;6236;90
SEMPERE;6014;5617;128
OVIEDO;6009;6127;70
LLANOS;6000;6049;49
CORNEJO;5994;5962;20
FARRE;5986;5878;64
SOUSA;5983;5741;48
GALIANO;5979;5933;50
ELVIRA;5960;6095;154
GUARDIOLA;5959;6052;51
MERCADO;5950;5819;64
YAGUE;5941;5571;53
SACRISTAN;5940;5799;38
CABANILLAS;5922;6065;66
ALEMANY;5907;5820;114
CANTO;5901;5934;66
URIARTE;5880;5595;86
CHAPARRO;5874;5966;56
BERROCAL;5873;6016;56
COMAS;5868;5851;32
ROSELL;5861;5609;44
GOMES;5854;4235;85
BARRIENTOS;5849;5430;54
AROCA;5844;5717;60
COLOMER;5823;5389;18
CAÑIZARES;5814;6044;66
FEIJOO;5777;5616;119
GILABERT;5776;5512;24
CAPDEVILA;5761;5564;44
MAZA;5759;5817;65
ARNAIZ;5752;5812;95
ESPIN;5752;5517;79
OLIVERA;5744;5604;66
LIMA;5737;6159;34
PORTELA;5711;5548;87
TRILLO;5705;5863;150
ROSELLO;5701;5513;39
SANS;5681;5381;78
RUS;5674;3724;41
GISBERT;5670;5509;53
PERELLO;5669;5593;94
CERDAN;5661;5574;51
FIGUERAS;5659;5501;36
TORREJON;5657;5989;84
CARPIO;5657;5543;45
AMADO;5636;5652;60
MAÑAS;5631;5628;83
ALIAGA;5629;5610;56
MONTEAGUDO;5617;5452;64
ESPINO;5611;5252;59
SALDAÑA;5605;5404;48
CRISTOBAL;5602;5422;50
TUDELA;5593;5551;57
MURIEL;5586;5353;38
BETANCOR;5577;5803;111
SAN JUAN;5573;5820;37
RIO;5555;5356;87
CAMPOY;5542;5624;32
AMAT;5536;5307;33
GARRIGA;5532;5043;33
TEJERA;5530;5795;43
YANG;5522;453;17
MARMOL;5512;5567;20
SECO;5502;5850;31
VALDERRAMA;5491;5336;19
MESEGUER;5487;5534;49
BASTIDA;5478;5303;31
HOLGADO;5470;5328;42
MORILLA;5468;5420;21
MELGAR;5461;5467;46
PLASENCIA;5457;5504;171
REIG;5453;5106;14
BARRETO;5450;5231;68
GAVILAN;5427;5334;28
JULIAN;5425;5648;35
ESCALANTE;5411;5311;39
BARBOSA;5403;5371;42
ANAYA;5377;5118;23
CAMINO;5373;5279;58
CARDOSO;5366;5225;39
FERRERA;5363;5328;46
VILLALOBOS;5363;5258;57
SAN MIGUEL;5361;5001;29
CHICA;5357;5170;63
DAZA;5355;5554;20
